Mtech_Project,Server,Date,Utilization,Parameter,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-27T14:30:00,0.079165835,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-27T13:30:00,0.493611666,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-28T02:30:00,0.248890001,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-27T06:30:00,0.984668372,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-27T10:30:00,0.073686667,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-18T13:30:00,0.187289998,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-25T16:30:00,0.081111667,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-26T02:30:00,0.080723334,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-21T04:30:00,0.102605,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-20T20:30:00,75.18638992,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-23T16:30:00,0.095832501,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-24T04:30:00,0.261389169,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-24T03:30:00,0.1016675,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-23T08:30:00,0.0894475,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-23T21:30:00,0.253612502,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-23T17:30:00,0.257500829,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-03-01T01:30:00,0.251389177,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-03-01T00:30:00,1.338055834,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-28T23:30:00,0.343610833,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-28T22:30:00,0.243611662,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-28T15:30:00,0.079723334,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-28T12:30:00,0.316112503,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-03-01T02:30:00,0.101667499,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-28T08:30:00,0.077223334,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-03-09T01:30:00,0.081665,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-03-08T21:30:00,0.233332496,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-03-08T18:30:00,0.437195844,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-03-08T17:30:00,0.299082502,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-03-08T15:30:00,0.078031667,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-03-08T13:30:00,0.480262497,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-03-08T06:30:00,0.081645834,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-03-08T05:30:00,0.081221668,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-03-02T16:30:00,0.088619166,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-03-03T03:30:00,0.086110001,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-03-03T02:30:00,0.098055834,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-03-03T00:30:00,0.07,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-03-02T08:30:00,3.289166644,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-03-02T21:30:00,1.740000043,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-03-02T06:30:00,0.077221666,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-03-02T20:30:00,0.083334167,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-03-02T05:30:00,0.413888325,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-27T00:30:00,0.104846666,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-26T20:30:00,0.063326667,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-26T14:30:00,0.066315,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-27T03:30:00,0.089108571,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-27T02:30:00,0.079788333,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-26T10:30:00,0.070168333,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-26T07:30:00,0.070938334,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-02T15:30:00,0.0875,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-02T14:30:00,0.248611665,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-02T11:30:00,0.083334443,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-02T22:30:00,0.24166667,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-02T21:30:00,0.086945833,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-02T00:30:00,0.084721666,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-01T08:30:00,0.088333333,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-01T23:30:00,0.338888333,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-01T06:30:00,0.239165829,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-01T21:30:00,0.085834999,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-01T20:30:00,1.243600836,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-01T19:30:00,0.079999999,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-01T17:30:00,0.658889157,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-01T14:30:00,0.238889163,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-01T13:30:00,0.533889167,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-01T12:30:00,0.080833333,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-01-31T14:30:00,0.171370004,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-01T02:30:00,0.265278326,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-01T01:30:00,0.1002775,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-01T00:30:00,0.24,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-01-31T08:30:00,0.301469991,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-01-31T21:30:00,1.111157484,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-01-31T17:30:00,0.269444166,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-03T16:30:00,0.246665837,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-03T15:30:00,0.085555833,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-04T01:30:00,0.1008325,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-03T07:30:00,0.094165834,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-03T20:30:00,1.343889981,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-03T18:30:00,0.130712,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-04T17:30:00,0.271110834,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-04T15:30:00,0.084722499,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-05T03:30:00,0.0975,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-05T02:30:00,0.088334167,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-05T00:30:00,0.232778331,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-04T23:30:00,0.320001666,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-04T22:30:00,0.083888333,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-04T20:30:00,1.334445829,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-04T19:30:00,0.082221667,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-08T03:30:00,0.098036667,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-08T01:30:00,0.094113333,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-07T22:30:00,0.085260833,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-07T15:30:00,0.099119,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-07T11:30:00,0.431111671,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-03-06T22:30:00,9.686112469,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-03-06T19:30:00,75.39125061,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-03-06T16:30:00,75.38400332,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-03-06T15:30:00,32.69279967,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-03-06T12:30:00,0.090276666,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-03-06T11:30:00,0.373333335,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-10T08:30:00,0.087249167,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-11T03:30:00,0.111111667,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-10T21:30:00,1.27222248,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-10T14:30:00,0.078055,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-10T12:30:00,0.078889166,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-10T11:30:00,0.302621108,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-03-30T07:30:00,0.101943334,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-03-30T10:30:00,0.095555001,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-03-30T14:30:00,0.078055,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-03-31T10:30:00,0.106667496,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-03-31T13:30:00,0.328610833,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-03-31T23:30:00,0.330000833,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-01T04:30:00,3.454444153,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-07T03:30:00,0.166389164,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-06T17:30:00,0.385834161,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-06T15:30:00,0.154166671,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-06T12:30:00,0.181388333,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-06T08:30:00,0.045038333,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-03T04:30:00,3.271387529,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-03T03:30:00,0.094166666,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-03T02:30:00,0.25388834,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-02T23:30:00,0.322778332,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-02T18:30:00,3.104880004,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-02T16:30:00,0.101110835,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-15T03:30:00,0.056110833,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-14T18:30:00,2.759445041,CPU,,,,,
